Document Title,Year,Abstract,IEEE Terms,Author Keywords,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Volume,Issue,Start Page,End Page,ISSN,ISBNs,DOI,Funding Information,PDF Link,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,,,,,,,,,,
The city as a platform,2011,"This paper will explore which roles city governments can take up in the context of the ongoing platformisation of the mobile services industry. It takes an experimental approach by a applying an existing typology for mobile service platforms to the context of the city, combined with an analysis of real-life examples. The paper identifies four City Platform types of which two appear more likely than the others and forms a starting point for research into platform strategies in the context of the city.",Cities and towns;Companies;Context;Government;Industries;Mobile communication,Mobile services;Smart Cities;business models;platformisation;platforms,N. Walravens,"IBBT-SMIT, Vrije Universiteit Brussel, Belgium",2011 15th International Conference on Intelligence in Next Generation Networks,20111117,,,283,288,,Electronic:978-1-61284-319-3; POD:978-1-4799-1687-0; USB:978-1-61284-320-9,10.1109/ICIN.2011.6081090,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6081090,mobile radio;telecommunication industry;telecommunication services,city context;city governments;city platform types;mobile services industry;platformisation;real-life examples,,1,,12,,,,4-7 Oct. 2011,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Towards building and evaluating a personalized location-based recommender system,2014,"Personalized location-based service recommendation is an important trend in the development of online ecommerce applications. In this work, we integrate the application of location-based service with recommendation technologies to present a hybrid recommendation model and a prototype system (HiPerData) to evaluate and measure the validity based on the Yelp dataset. In order to solve the four recommendation problems, we improve a predictive feature-based regression model, and combine the results of a set of collaborative filtering algorithms, which includes: SVD (Singular value decomposition), SVR (Support vector regression), SGD (Stochastic gradient descent), etc. Unlike previous approaches, we apply multiple methods to pre- and post-process the dataset and predict ratings, for example, a weighted pairwise preference regression for cold start problems, etc. We enhance the neighborhood-based approach leading to a substantial improvement of prediction accuracy. Our method gave the best overall results with a root mean square error of 1.22724.",Business;Cities and towns;Collaboration;Prediction algorithms;Predictive models;Recommender systems;Training,,R. Duan; R. S. M. Goh; F. Yang; Y. K. Tan; J. F. B. Valenzuela,"Institute of High Performance Computing, Singapore",2014 IEEE International Conference on Big Data (Big Data),20150108,,,43,48,,Electronic:978-1-4799-5666-1; POD:978-1-4799-5667-8,10.1109/BigData.2014.7004211,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7004211,collaborative filtering;gradient methods;least mean squares methods;recommender systems;regression analysis;singular value decomposition;stochastic processes;support vector machines,SGD;SVD;SVR;Yelp dataset;collaborative filtering algorithms;hybrid recommendation model;location-based service;personalized location-based recommender system;predictive feature-based regression model;root mean square error;singular value decomposition;stochastic gradient descent;support vector regression,,3,,14,,,,27-30 Oct. 2014,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Aspirations and realizations: The smart city of Seattle,2013,"Smart city initiatives have been launched on every continent. That notwithstanding the concept of ‚Äúsmart city‚Ä?has remained ambiguous. We systematically interviewed officials of an acclaimed Smart City (Seattle) and explicitly asked the officials for their own definitions of ‚Äúsmart city,‚Ä?which we then compared to the respective projects run by that City. While the definitions given by the practitioners were found different from those in the literature, the smart city projects lived up and matched the practitioner definitions to a high degree. We document the projects and their expected and realized benefits, which illustrate where a leading City government is headed in terms of smart government. However, ‚ÄúSmart City‚Ä?initiatives in local government might be only a steppingstone in making the greater urban space a ‚Äúsmart city,‚Ä?which appears to be a more challenging undertaking.",Cities and towns;Communities;Encoding;Government;Interviews;Smart grids,Benefits;Projects;Seattle;Smart City;Smart Government,S. AlAwadhi; H. J. Scholl,"Kuwait Univ., Safat, Kuwait",2013 46th Hawaii International Conference on System Sciences,20130318,,,1695,1703,1530-1605;15301605,Electronic:978-1-5090-5646-0; POD:978-1-4673-5933-7; USB:978-0-7695-4892-0,10.1109/HICSS.2013.102,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6480046,local government;town and country planning,Seattle;city government;local government;smart city initiatives;smart city projects;smart government;urban space,,9,,18,,,,7-10 Jan. 2013,,IEEE,IEEE Conference Publications,,,,,,,,,,,
From Open Data to Open Innovation Strategies: Creating E-Services Using Open Government Data,2013,"Noting the need to extend the corpus of knowledge on open government data initiatives, especially on the strategies to facilitate and attract businesses and citizens to participate, collaborate and re-use open government data, this paper presents a research-in-progress case study on an open data initiative by the Singapore Government. Preliminary findings indicate that open innovation can be gainfully employed to realize the underlying motivation of open data initiatives. This research also builds upon existing study in open innovation strategies. It posits a set of considerations to develop the open government data portal into an open innovation platform. It also establishes a set of considerations for enticing businesses and citizens to create e-services that leverage on the datasets available from the portal. Implications to both research and practice of open government data initiatives are presented. The paper concludes with a discussion on the future research direction of this study.",Collaboration;Economics;Electronic government;Portals;Technological innovation,e-government;open data;open government;open innovation,C. M. L. Chan,,2013 46th Hawaii International Conference on System Sciences,20130318,,,1890,1899,1530-1605;15301605,Electronic:978-1-5090-5646-0; POD:978-1-4673-5933-7; USB:978-0-7695-4892-0,10.1109/HICSS.2013.236,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6480069,,,,13,,37,,,,7-10 Jan. 2013,,IEEE,IEEE Conference Publications,,,,,,,,,,,
US Government Linked Open Data: Semantic.data.gov,2012,"This article discusses Data.gov, the world's largest open government, data-sharing website, and the use of linked data in some of the site's community pages.",Distributed databases;Government policies;Information services;Intelligent systems;Open systems;Portals;Semantic Web,Semantic Web;data.gov;linked data;open data;open government,J. Hendler; J. Holm; C. Musialek; G. Thomas,Rensselaer Polytechnic Institute,IEEE Intelligent Systems,20120711,27,3,25,31,1541-1672;15411672,,10.1109/MIS.2012.27,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6185527,Web sites;government data processing;semantic Web,US government linked open data;data-sharing Website;largest open government;semantic.data.gov,,19,,5,,,20120417,May-June 2012,,IEEE,IEEE Journals & Magazines,,,,,,,,,,,
Enabling On-Demand Mashups of Open Data with Semantic Services,2012,"Analogous to software-as-a-service (SaaS), platform-as-a-service (PaaS) and infrastructure-as-a-service (IaaS), data-as-a-service (DaaS) is used to provide data on demand to users over the Internet and is gaining popularity in the current cloud computing era. In particular, several Open Data initiatives have led to a number of data services in various formats becoming available online, and it remains a challenge to make full use of the data by transferring between and answering queries from different sources in a automatic, dynamic and meaningful manner. In this paper we propose a service-oriented, composition-based approach towards tackling the integration of open data services. We provide a formal, semantic-based modeling of data services and convert the integration problem into the service composition problem. Then the composition graph can be used to create the executable queries to the various data services. We illustrate our idea by using a case study in the real estate domain.",Data integration;Data models;Educational institutions;Global Positioning System;Mashups;Ontologies;Semantics,Data integration;composition;semantic service,Y. Feng; A. Veeramani; R. Kanagasabai,"Inst. for Infocomm Res., A*STAR, Singapore, Singapore",2012 IEEE 18th International Conference on Parallel and Distributed Systems,20130117,,,755,759,1521-9097;15219097,Electronic:978-0-7695-4903-3; POD:978-1-4673-4565-1,10.1109/ICPADS.2012.122,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6413610,cloud computing;data models;query processing,DaaS;IaaS;Internet;PaaS;SaaS;cloud computing era;composition-based approach;data-as-a-service;formal data service modeling;infrastructure-as-a-service;open data initiatives;open data on-demand mashup enabling;open data service integration;platform-as-a-service;query answering;semantic services;semantic-based data service modeling;service composition problem;service-oriented approach;software-as-a-service,,0,,10,,,,17-19 Dec. 2012,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Challenges and future trends for embedded security in electric vehicular communications,2015,"Compared to fuel based vehicles, Electric Vehicles (EVs) have the advantages of fuel-saving, lower maintenance and reduced pollution etc. However, EVs bring new challenges for security as modern vehicles extensively interact with their environments, such as Wi-Fi, LTE and keyless entry system. These communication systems are cataloged into in-vehicle network and car to car/infrastructure (C2X) network. In this paper, we have addressed the importance of embedded security for electric vehicular communication, which provides confidentiality and privacy of the critical controlling information. In addition, we present the security solutions for electric charge station, which becomes another intrusion point because EVs must be charged frequently. Finally, we summarize the challenges and future trends of embedded security for electric vehicular communications.",Automotive engineering;Electric vehicles;Logic gates;Market research;Protocols;Security,,Y. Wang; Z. Hong; J. Li; S. Luo; Y. Ha,"Institute for Infocomm Research (1R), Agency for Science, Technology and Research (A&#8727;STAR), Singapore",2015 IEEE 11th International Conference on ASIC (ASICON),20160721,,,1,4,,Electronic:978-1-4799-8485-5; POD:978-1-4799-8486-2; USB:978-1-4799-8484-8,10.1109/ASICON.2015.7517021,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7517021,computer network security;data privacy;electric vehicles;embedded systems;mobile radio,C2X network;car to car network;car to infrastructure network;communication systems;critical controlling information confidentiality;critical controlling information privacy;electric charge station;electric vehicular communication;embedded security;future trends;in-vehicle network,,,,,,,,3-6 Nov. 2015,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Engineering Management Models for Urban Security,2017,"The allocation of limited yet costly police resources is a daily dilemma for police commanders. More than 50% of police department costs go into patrolling operations, which include responding to emergencies and maintaining police presence in patrolling areas. This research aims to address the managerial challenges and tradeoffs that police commanders face when designing patrolling strategies: lessening the economic burden of crime prevention and maintaining high levels of public safety. The proposed framework is implemented through a mathematical framework and simulation to obtain the best patrolling strategies for the Seattle Police Department, and the simulation results show that patrol performance can be improved using the proposed framework.",Economics;Law enforcement;Mathematical model;Optimization;Resource management;Security;Urban areas,Crimes;evolutionary algorithm;heuristics;multiobjective optimization;patrolling strategies;police;urban security,M. Muaafa; J. E. Ramirez-Marquez,"School of Systems and Enterprises, Stevens Institute of Technology, Hoboken, NJ, USA",IEEE Transactions on Engineering Management,20170119,64,1,29,41,0018-9391;00189391,,10.1109/TEM.2016.2634119,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7797517,law administration;police;public administration;resource allocation;security;town and country planning,engineering management model;mathematical framework;patrolling strategy;police commander;police resource allocation;simulation;urban security,,1,,,,,20161226,Feb. 2017,,IEEE,IEEE Journals & Magazines,,,,,,,,,,,
"From Python Scripting to Parallel Spatial Modeling: Cellular Automata Simulations of Land Use, Hydrology and Pest Dynamics",2017,"Many spatial phenomena are difficult, dangerous, costly or impossible to reproduce, making their simulation the only option. Wildfires, large floods or epidemics are examples in which computer models are fundamental for the scientific study of their dynamics. Today computer models enable us to perform simulations more accurately than ever before thanks to the increasing spatio-temporal resolution of data. However, more data entails more calculations, and too many calculations quickly become computationally prohibitive. While data and computational demands increase, sequential computers have stagnated and parallel computing seems the way forward. Unfortunately parallel codes are long, complex and not very reusable. Therefore, although modelers require parallel performance, they prefer not to give up the comfort of their sequential scripting languages. We address the parallel issue by leveraging compiler techniques that automatically transform sequential python scripts to parallel GPU codes. Our methodology can also process datasets larger than main memory. To make all this possible we restrict our domain to models based on local interactions, e.g. Cellular Automata. We test the automatic parallelization of three CA in land use, hydrology and pest dynamics. The first predicts future urban developments, the second models the flow of water and the third simulates an outbreak of olive fruit fly. The methodology reduces the execution times by harnessing the parallelism of the models and enables the processing of very large datasets, all of this without compromises in programming effort.",Analytical models;Biological system modeling;Computational modeling;Computers;Graphics processing units;Mathematical model;Optimization,GPU;OpenCL;cellular automata;compilers;modeling and simulation;parallel computing;spatial analysis,J. Caraba√±o; J. Westerholm,"Fac. of Sci. & Eng., Abo Akademi Univ., A&#x030A;bo, Finland","2017 25th Euromicro International Conference on Parallel, Distributed and Network-based Processing (PDP)",20170427,,,511,518,,Electronic:978-1-5090-6058-0; POD:978-1-5090-6059-7,10.1109/PDP.2017.18,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7912696,authoring languages;cellular automata;geography;land use;parallel processing;program compilers,Python scripting;cellular automata simulations;compiler techniques;hydrology;land use;parallel GPU codes;parallel computing seems;parallel spatial modeling;pest dynamics;sequential scripting languages;spatio-temporal resolution,,,,,,,,6-8 March 2017,,IEEE,IEEE Conference Publications,,,,,,,,,,,
The Snoopy Concept: Fighting heterogeneity in semistructured and collaborative information systems by using recommendations,2011,"The collaborative creation and manipulation of semistructured data imposes the major problem of structure heterogeneity. The more users enter information, the more heterogeneous the structure of information becomes. This proliferation of the schema has a significantly negative impact on the performance of querying facilities as structured, unified access of data is no longer possible. In this paper we present the Snoopy Concept, a novel approach for collaborative, semistructured information systems within an online environment. It deals with structure heterogeneity by incorporating the user in the alignment process of data already during the insertion. This is accomplished by providing the users with useful recommendations how to structure information. Furthermore, the system encourages users to enter more information as it points users to missing bits of information.",Collaboration;Encyclopedias;Information systems;Internet;Prototypes;Semantics,RDF;collaboration;heterogeneity;recommendations;schema proliferation;semistructured data,W. Gassler; E. Zangerle; G. Specht,"Databases and Information Systems, Institute of Computer Science, University of Innsbruck, Austria",2011 International Conference on Collaboration Technologies and Systems (CTS),20110711,,,61,68,,Electronic:978-1-61284-639-2; POD:978-1-61284-638-5,10.1109/CTS.2011.5928666,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5928666,groupware;information systems;query processing;recommender systems,Snoopy concept;collaborative information systems;querying facilities;recommendations;semistructured data;semistructured information systems,,1,,23,,,,23-27 May 2011,,IEEE,IEEE Conference Publications,,,,,,,,,,,
From Open Access to Open Data Markets: Increasing the Subtractability of Open Data,2015,"Much of earlier emphasis on open data as a public good has been focused primarily upon accessibility and has ruled out the role of rivalry in the creation of horizontal and vertical complements. Rather than framing open data as a public good, this paper positions open data as a common pool resource, which is subject to subtraction by commercial interests. Contrary to the prior depiction that the subtract ability of common pool resources is deleterious, we argue that subtraction is essential to attracting private investment. Specifically, making open data more subtract able, will not only attract further private and public use but also induce eventual releases of private and commercial data to form a marketplace of data complements. We further argue that most of the current open data initiatives should direct their attention towards the creation of a platform market to harness the distributed resources for creating digitalised innovation and services.",Companies;Distributed databases;Government;Investment;Licenses;Technological innovation,,J. Lindman; G. Kuk,,2015 48th Hawaii International Conference on System Sciences,20150330,,,1306,1313,1530-1605;15301605,Electronic:978-1-4799-7367-5; POD:978-1-4799-7368-2,10.1109/HICSS.2015.159,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7069967,electronic publishing;innovation management;investment;market opportunities,Open Access;digitalised innovation;digitalised services;open data markets;open data subtractability;private investment;public good,,0,,19,,,,5-8 Jan. 2015,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Towards a customizable user-centered model for data analytics,2015,"Evidence-based governance and e-democracy both rely on the capability to analyze aggregated and statistical data. Recent studies report that existing analysis tools were never fully embraced by managers mainly because of their complexity for many analytical use cases. This is even more true for citizens, that do not have full control over underlying data and analysis models. In the present work, we propose an innovative user-centered approach for data analytics, that facilitates the interaction of users with statistical and aggregated measures, i.e. indicators. We provide an overview of the framework, discussing its main components and functionalities. In particular we focus on an ontology representing both atomic and compound indicators, that are provided with a calculation formula. We show how such a logic-based representation of indicators allows the implementation of powerful, automatic reasoning services, capable to provide a valuable support to users for performing analysis tasks.",Cognition;Collaboration;Distributed databases;Government;Mathematical model;Ontologies;Semantics,Frameworks and Methodologies for Collaboration;Information Exchange and Fusion in CE;e-Business;e-Comm;e-Gov and Collaboration,C. Diamantini; L. Genga; D. Potena; E. Storti,"Dipartimento di Ingegneria dell'Informazione, Universita&#x00E1; Politecnica delle Marche via Brecce Bianche, 60131 Ancona, Italy",2015 International Conference on Collaboration Technologies and Systems (CTS),20150820,,,249,256,,CD-ROM:978-1-4673-7646-4; Electronic:978-1-4673-7648-8; POD:978-1-4673-7649-5,10.1109/CTS.2015.7210431,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7210431,data analysis;government data processing;ontologies (artificial intelligence);statistical databases,aggregated data;atomic indicators;automatic reasoning services;calculation formula;compound indicators;customizable user-centered model;data analytics;e-democracy;evidence-based governance;innovative user-centered approach;logic-based representation;ontology;statistical data,,0,,28,,,,1-5 June 2015,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Design and specifications of a repository for real-time open data,2014,"Real-time data generated by the many sensors and other sources today can serve as important input to mobile and web applications. This data, however, is often either proprietary or in a format that is not easily usable by real time applications. Furthermore, if an application developer needs to integrate (mash-up) data from multiple sources it is quite burdensome to develop interfaces. The present platforms for open data repositories are designed for static non real-time data. We propose a design and specifications for a platform that will accept real-time open data from multiple sources in multiple formats and make the data accessible in a standard format at any desired frequency. The data is held for a finite period of time (depending on factors such as frequency, precision, etc.) and digests made so that developers can also make use of historical data.",Databases;Feeds;Government;Real-time systems;Sensors;Servers;Sockets,Data repository;Open data;Open source;Real-time systems;Sensor networks,S. Lutchman; P. Hosein,"Comput. Sci. Dept., Univ. of the West Indies, St. Augustine, Trinidad and Tobago",Proceedings of the 2014 ITU kaleidoscope academic conference: Living in a converged world - Impossible without standards?,20140721,,,105,110,,CD-ROM:978-92-61-14421-0; Electronic:978-92-61-14421-0; POD:978-1-4799-2559-9,10.1109/Kaleidoscope.2014.6858486,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6858486,data integration,Web applications;data generation;data integration;historical data;mobile applications;real-time open data repository,,0,,12,,,,3-5 June 2014,,IEEE,IEEE Conference Publications,,,,,,,,,,,
An Instant-Based Qur'an Memorizer Application Interface,2013,"In this paper, we describe an Instant-Based Qur'an Memorizer Application Interface, which aims at providing a unifying framework for building Qur'an memorizer application. It includes all features for memorizing the Qur'an, and it is feasible to be used in latest handsets. Its unique feature of instant creation gives the user to memorize any Surah or Ayah from the Qur'an. We describe the core components and design patterns of the proposed memorizer with emphasis on key design criteria. These criteria aim at providing the necessary scalability and performance on the one hand, and quality assurance of the Qur'an text on the other.",Educational institutions;Electronic mail;Fading;Portals;Web servers,memorizer;quran,Z. A. Adhoni; H. A. Hamad; A. A. Siddiqi; Z. A. Adhoni,"IT Dept., Qassim Univ., Qassim, Saudi Arabia",2013 International Conference on Information Science and Cloud Computing Companion,20141204,,,382,387,,CD-ROM:978-1-4799-1864-5; Electronic:978-1-4799-5245-8; POD:978-1-4799-5246-5,10.1109/ISCC-C.2013.14,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6973622,natural language interfaces;natural language processing;text analysis,Ayah;Qur'an text;Surah;core components;design patterns;instant-based Qur'an memorizer application interface;key design criteria;quality assurance,,0,,12,,,,7-8 Dec. 2013,,IEEE,IEEE Conference Publications,,,,,,,,,,,
